date,home_team,away_team,home_goals,away_goals,tournament
2021-07-11,Australia,Costa Rica,2,3,Nations League
2021-07-12,Jamaica,Poland,1,2,Nations League
2021-07-13,Iran,Argentina,3,2,WC Qualifier
2021-07-14,Wales,France,1,3,WC Qualifier
2021-07-15,New Zealand,Canada,0,1,Nations League
2021-07-16,Ecuador,Netherlands,4,1,Friendly
2021-07-17,New Zealand,Jordan,2,1,Friendly
2021-07-18,England,Peru,2,1,WC Qualifier
2021-07-19,Jamaica,Nigeria,2,1,Nations League
2021-07-19,Jamaica,Algeria,4,5,Nations League
2021-07-20,Jamaica,Ukraine,3,4,Friendly
2021-07-21,Tunisia,Denmark,2,1,Continental Cup
2021-07-22,Mexico,Australia,2,0,Nations League
2021-07-23,Mexico,Belgium,3,1,Friendly
2021-07-24,Morocco,Italy,1,2,Friendly
2021-07-25,Colombia,Curacao,1,0,WC Qualifier
2021-07-26,Australia,Algeria,3,1,Friendly
2021-07-27,Scotland,Tunisia,2,3,WC Qualifier
2021-07-28,Croatia,Austria,2,1,WC Qualifier
2021-07-28,Portugal,Ukraine,2,0,Nations League
2021-07-29,Qatar,France,1,2,Friendly
2021-07-30,Nigeria,United States,1,3,Continental Cup
2021-07-31,Ukraine,Japan,1,1,Friendly
2021-08-01,Tunisia,Austria,3,4,Friendly
2021-08-02,Japan,Chile,2,0,Friendly
2021-08-03,Colombia,Portugal,0,0,Friendly
2021-08-04,Denmark,Japan,2,1,Friendly
2021-08-05,Wales,Poland,3,2,Friendly
2021-08-06,Mexico,Italy,0,0,WC Qualifier
2021-08-07,France,Poland,2,0,Continental Cup
2021-08-07,Argentina,Ukraine,1,2,Friendly
2021-08-08,Mexico,Chile,3,2,Continental Cup
2021-08-09,Scotland,Panama,2,2,Friendly
2021-08-10,Italy,Panama,2,1,Friendly
2021-08-11,Netherlands,Nigeria,3,0,Nations League
2021-08-12,Senegal,Iran,1,3,WC Qualifier
2021-08-13,Senegal,Netherlands,1,1,Continental Cup
2021-08-14,Jordan,Saudi Arabia,1,2,WC Qualifier
2021-08-15,Belgium,United States,1,0,Continental Cup
2021-08-16,Jamaica,Peru,4,4,Nations League
2021-08-16,Japan,Italy,6,3,Continental Cup
2021-08-17,France,Senegal,2,1,Friendly
2021-08-18,Nigeria,Iran,1,0,Friendly
2021-08-19,Peru,Jamaica,4,5,Friendly
2021-08-20,Wales,Peru,2,0,Friendly
2021-08-21,Chile,Poland,1,2,WC Qualifier
2021-08-22,Japan,Austria,1,1,Friendly
2021-08-23,Qatar,Curacao,0,0,WC Qualifier
2021-08-24,Brazil,Portugal,3,2,Continental Cup
2021-08-25,Ecuador,England,0,1,Friendly
2021-08-25,Iran,Morocco,3,2,Nations League
2021-08-26,Peru,United States,2,2,WC Qualifier
2021-08-27,Algeria,Japan,4,3,Friendly
2021-08-28,England,South Korea,3,0,WC Qualifier
2021-08-29,Denmark,Costa Rica,2,3,WC Qualifier
2021-08-30,Belgium,Morocco,1,0,Continental Cup
2021-08-31,Chile,Scotland,2,0,WC Qualifier
2021-09-01,Austria,Tunisia,1,2,WC Qualifier
2021-09-02,Japan,Uruguay,1,2,WC Qualifier
2021-09-03,South Korea,Mexico,2,3,Friendly
2021-09-04,England,Algeria,3,3,Continental Cup
2021-09-04,Serbia,Brazil,0,2,Friendly
2021-09-05,Mexico,Chile,5,6,Friendly
2021-09-06,South Korea,Saudi Arabia,2,1,Nations League
2021-09-07,Morocco,Argentina,1,2,Nations League
2021-09-08,Jordan,Canada,2,2,Friendly
2021-09-09,Switzerland,Cape Verde,3,2,Friendly
2021-09-10,Cape Verde,Jamaica,2,1,Friendly
2021-09-11,Japan,Spain,0,5,Nations League
2021-09-12,Italy,Curacao,4,4,WC Qualifier
2021-09-13,Switzerland,South Korea,2,1,Friendly
2021-09-13,Tunisia,Egypt,3,2,Continental Cup
2021-09-14,Brazil,Scotland,3,1,Friendly
2021-09-15,Cape Verde,Spain,0,3,WC Qualifier
2021-09-16,Ecuador,Germany,1,2,Nations League
2021-09-17,France,Egypt,3,1,Nations League
2021-09-18,Canada,Wales,3,4,WC Qualifier
2021-09-19,Brazil,Jordan,2,1,WC Qualifier
2021-09-20,Algeria,United States,1,1,Continental Cup
2021-09-21,Austria,Belgium,1,2,WC Qualifier
2021-09-22,Italy,Curacao,1,1,WC Qualifier
2021-09-22,Argentina,Austria,3,3,Friendly
2021-09-23,Morocco,Egypt,0,0,Nations League
2021-09-24,Germany,Curacao,2,0,Friendly
2021-09-25,Wales,Japan,4,5,WC Qualifier
2021-09-26,Qatar,Curacao,2,1,Friendly
2021-09-27,Ecuador,Peru,1,2,Continental Cup
2021-09-28,Netherlands,Curacao,3,0,Friendly
2021-09-29,Portugal,France,2,3,Continental Cup
2021-09-30,Senegal,Peru,4,5,Friendly
2021-10-01,Mexico,Switzerland,2,3,Friendly
2021-10-02,Curacao,Tunisia,1,2,Friendly
2021-10-02,Australia,Egypt,0,2,WC Qualifier
2021-10-03,Panama,Japan,5,4,Friendly
2021-10-04,Peru,Panama,1,1,Friendly
2021-10-05,Jamaica,Cape Verde,2,3,Nations League
2021-10-06,England,Iran,3,0,WC Qualifier
2021-10-07,Panama,Japan,1,2,WC Qualifier
2021-10-08,South Korea,France,1,2,WC Qualifier
2021-10-09,Portugal,Ukraine,3,2,Continental Cup
2021-10-10,Spain,Belgium,3,2,WC Qualifier
2021-10-11,Costa Rica,Netherlands,1,2,Friendly
2021-10-11,Curacao,Peru,2,1,Continental Cup
2021-10-12,Japan,Wales,3,2,Continental Cup
2021-10-13,South Korea,Serbia,1,3,Friendly
2021-10-14,Netherlands,Switzerland,4,3,Nations League
2021-10-15,Spain,Jordan,1,2,Friendly
2021-10-16,Belgium,Tunisia,3,2,Friendly
2021-10-17,France,Jordan,1,1,WC Qualifier
2021-10-18,Canada,Scotland,3,4,WC Qualifier
2021-10-19,Belgium,Egypt,1,0,Nations League
2021-10-20,Australia,Switzerland,1,2,WC Qualifier
2021-10-20,Tunisia,Ecuador,2,2,Friendly
2021-10-21,Peru,Italy,2,3,WC Qualifier
2021-10-22,Germany,Poland,1,2,WC Qualifier
2021-10-23,Iran,Tunisia,3,2,Friendly
2021-10-24,Italy,Australia,2,0,Friendly
2021-10-25,Germany,Senegal,3,2,Continental Cup
2021-10-26,Spain,Curacao,4,2,Nations League
2021-10-27,France,Portugal,1,3,Nations League
2021-10-28,Uzbekistan,Netherlands,1,0,Friendly
2021-10-29,Peru,Ukraine,1,2,Nations League
2021-10-29,Australia,Panama,3,2,Friendly
2021-10-30,England,Costa Rica,3,2,WC Qualifier
2021-10-31,Jordan,Spain,0,2,WC Qualifier
2021-11-01,Iran,Ecuador,3,3,Nations League
2021-11-02,Jordan,Scotland,1,1,Friendly
2021-11-03,South Korea,Jordan,1,0,Friendly
2021-11-04,Mexico,Egypt,2,0,WC Qualifier
2021-11-05,Qatar,Costa Rica,1,1,WC Qualifier
2021-11-06,Portugal,Nigeria,2,1,Continental Cup
2021-11-07,Ukraine,Qatar,1,0,Continental Cup
2021-11-08,Saudi Arabia,Curacao,2,1,Nations League
2021-11-08,Turkey,Morocco,1,2,WC Qualifier
2021-11-09,Italy,Algeria,3,2,Nations League
2021-11-10,Italy,Tunisia,2,3,WC Qualifier
2021-11-11,Belgium,France,1,1,WC Qualifier
2021-11-12,England,Colombia,2,0,WC Qualifier
2021-11-13,Morocco,Brazil,1,2,Nations League
2021-11-14,Cape Verde,Iran,1,2,WC Qualifier
2021-11-15,Argentina,Turkey,4,1,WC Qualifier
2021-11-16,Chile,Mexico,1,1,Nations League
2021-11-17,Poland,Iran,2,0,Nations League
2021-11-17,Ecuador,New Zealand,3,2,WC Qualifier
2021-11-18,Scotland,Peru,2,1,WC Qualifier
2021-11-19,Switzerland,Spain,1,2,Friendly
2021-11-20,Portugal,Wales,4,3,Continental Cup
2021-11-21,Serbia,Jordan,1,2,Friendly
2021-11-22,Turkey,Wales,2,3,Friendly
2021-11-23,France,Switzerland,1,2,Friendly
2021-11-24,Canada,Wales,2,1,WC Qualifier
2021-11-25,Brazil,Algeria,3,3,Friendly
2021-11-26,South Korea,France,1,1,Continental Cup
2021-11-26,Uzbekistan,Wales,1,2,Friendly
2021-11-27,Senegal,Spain,2,3,Friendly
2021-11-28,Mexico,Uruguay,1,2,WC Qualifier
2021-11-29,Qatar,Argentina,0,2,Friendly
2021-11-30,Turkey,Croatia,2,1,WC Qualifier
2021-12-01,United States,Argentina,1,2,WC Qualifier
2021-12-02,Wales,United States,1,1,Nations League
2021-12-03,Germany,Switzerland,4,1,Friendly
2021-12-04,Brazil,Turkey,3,2,Friendly
2021-12-05,Germany,Australia,2,3,WC Qualifier
2021-12-06,Serbia,Austria,2,2,Friendly
2021-12-06,Japan,Egypt,1,0,Continental Cup
2021-12-07,Switzerland,Uruguay,1,1,Nations League
2021-12-08,Egypt,Argentina,2,1,Continental Cup
2021-12-09,Japan,Mexico,3,2,Friendly
2021-12-10,Denmark,Switzerland,1,0,Nations League
2021-12-11,Uruguay,Cape Verde,0,0,Friendly
2021-12-12,Jamaica,Nigeria,4,5,Continental Cup
2021-12-13,Poland,Uzbekistan,3,1,WC Qualifier
2021-12-14,Uzbekistan,Jamaica,2,1,Nations League
2021-12-15,Ecuador,Uruguay,1,1,Nations League
2021-12-15,Peru,Nigeria,1,2,Nations League
2021-12-16,Portugal,Brazil,3,2,Continental Cup
2021-12-17,Australia,Morocco,3,2,Nations League
2021-12-18,Morocco,Switzerland,2,2,WC Qualifier
2021-12-19,Switzerland,Portugal,0,0,Friendly
2021-12-20,England,Ukraine,2,1,Friendly
2021-12-21,Scotland,Cape Verde,0,0,Friendly
2021-12-22,South Korea,United States,5,1,Friendly
2021-12-23,Ecuador,Switzerland,2,1,WC Qualifier
2021-12-24,Cape Verde,Mexico,1,2,Friendly
2021-12-24,Netherlands,Senegal,0,1,Continental Cup
2021-12-25,Senegal,England,2,1,WC Qualifier
2021-12-26,Saudi Arabia,Iran,0,1,Nations League
2021-12-27,Wales,Colombia,5,4,Friendly
2021-12-28,Qatar,Cape Verde,2,3,WC Qualifier
2021-12-29,New Zealand,Switzerland,0,2,Nations League
2021-12-30,Egypt,Brazil,2,1,Friendly
2021-12-31,Uzbekistan,France,2,3,WC Qualifier
2022-01-01,New Zealand,Qatar,0,1,WC Qualifier
2022-01-02,Senegal,Iran,3,2,Continental Cup
2022-01-03,Serbia,Nigeria,4,3,Nations League
2022-01-03,Peru,Wales,6,5,WC Qualifier
2022-01-04,Belgium,Jordan,4,5,Nations League
2022-01-05,Croatia,Ecuador,1,0,Nations League
2022-01-06,France,South Korea,2,3,Friendly
2022-01-07,United States,South Korea,1,0,Friendly
2022-01-08,Portugal,Jordan,1,0,Continental Cup
2022-01-09,Portugal,United States,2,0,Friendly
2022-01-10,Mexico,Costa Rica,2,0,WC Qualifier
2022-01-11,United States,Peru,1,0,WC Qualifier
2022-01-12,Mexico,Austria,0,0,WC Qualifier
2022-01-12,Switzerland,Spain,0,1,WC Qualifier
2022-01-13,Jordan,United States,0,0,Continental Cup
2022-01-14,Austria,Scotland,2,2,Friendly
2022-01-15,Algeria,Spain,0,2,Friendly
2022-01-16,Germany,Australia,3,2,Continental Cup
2022-01-17,Panama,Uzbekistan,2,0,Friendly
2022-01-18,Argentina,Japan,3,2,Continental Cup
2022-01-19,France,Serbia,5,1,Friendly
2022-01-20,Spain,Argentina,1,1,Continental Cup
2022-01-21,Tunisia,Uruguay,2,1,Friendly
2022-01-21,Panama,Saudi Arabia,2,1,Nations League
2022-01-22,Chile,Brazil,0,3,WC Qualifier
2022-01-23,Curacao,Chile,1,2,Friendly
2022-01-24,South Korea,Chile,4,3,Friendly
2022-01-25,Morocco,Austria,1,1,Nations League
2022-01-26,Italy,Wales,2,3,Continental Cup
2022-01-27,Germany,Iran,3,2,WC Qualifier
2022-01-28,Turkey,Cape Verde,3,3,Continental Cup
2022-01-29,Germany,Uruguay,3,1,WC Qualifier
2022-01-30,Curacao,Senegal,1,2,Friendly
2022-01-31,Qatar,New Zealand,2,3,Nations League
2022-01-31,Peru,Japan,3,2,Friendly
2022-02-01,Argentina,Wales,2,2,WC Qualifier
2022-02-02,Colombia,Iran,4,3,Friendly
2022-02-03,Peru,Chile,3,2,Nations League
2022-02-04,Qatar,Uruguay,4,3,WC Qualifier
2022-02-05,Australia,France,1,2,WC Qualifier
2022-02-06,Turkey,Wales,3,2,WC Qualifier
2022-02-07,Belgium,Canada,1,1,Friendly
2022-02-08,Italy,Belgium,1,2,Friendly
2022-02-09,Jordan,Germany,0,2,Continental Cup
2022-02-09,Panama,Tunisia,2,0,Continental Cup
2022-02-10,South Korea,Germany,0,1,WC Qualifier
2022-02-11,Algeria,Morocco,4,3,Friendly
2022-02-12,Curacao,Egypt,2,1,Nations League
2022-02-13,Chile,United States,2,2,Friendly
2022-02-14,Italy,Iran,2,1,Friendly
2022-02-15,Australia,Mexico,1,2,Friendly
2022-02-16,Panama,Uzbekistan,0,2,WC Qualifier
2022-02-17,Cape Verde,Belgium,1,4,Friendly
2022-02-18,England,Uruguay,2,2,WC Qualifier
2022-02-18,Costa Rica,Chile,0,0,Continental Cup
2022-02-19,Algeria,Brazil,0,2,Friendly
2022-02-20,Nigeria,Switzerland,2,3,Nations League
2022-02-21,Australia,Jamaica,2,0,Continental Cup
2022-02-22,Uruguay,Netherlands,4,5,Continental Cup
2022-02-23,Tunisia,Switzerland,1,3,Nations League
2022-02-24,Brazil,Spain,1,2,WC Qualifier
2022-02-25,Panama,Croatia,1,0,Continental Cup
2022-02-26,United States,New Zealand,4,3,Friendly
2022-02-27,Algeria,Jamaica,1,2,Continental Cup
2022-02-27,Canada,Belgium,4,3,WC Qualifier
2022-02-28,Scotland,Jordan,6,5,Friendly
2022-03-01,Ecuador,Mexico,1,2,Nations League
2022-03-02,Portugal,Jamaica,3,2,WC Qualifier
2022-03-03,Tunisia,Ukraine,2,2,Nations League
2022-03-04,Uzbekistan,Canada,4,3,Nations League
2022-03-05,England,Uzbekistan,5,0,Continental Cup
2022-03-06,United States,Poland,3,1,Continental Cup
2022-03-07,Belgium,Panama,4,3,WC Qualifier
2022-03-08,Poland,Ukraine,1,0,Friendly
2022-03-09,Nigeria,Saudi Arabia,3,4,WC Qualifier
2022-03-09,Tunisia,Denmark,3,5,Friendly
2022-03-10,Croatia,Egypt,4,1,Continental Cup
2022-03-11,Peru,Panama,3,3,Friendly
2022-03-12,Switzerland,Canada,2,1,Friendly
2022-03-13,Peru,Denmark,5,1,Continental Cup
2022-03-14,Jordan,Cape Verde,1,1,Nations League
2022-03-15,Colombia,New Zealand,3,1,Friendly
2022-03-16,United States,Argentina,0,3,Nations League
2022-03-17,Colombia,United States,3,2,Friendly
2022-03-18,Serbia,South Korea,0,1,WC Qualifier
2022-03-18,Peru,Chile,3,1,Friendly
2022-03-19,Curacao,Uruguay,1,2,Friendly
2022-03-20,Curacao,France,2,3,Friendly
2022-03-21,Jordan,Colombia,2,1,WC Qualifier
2022-03-22,Turkey,Poland,1,0,Nations League
2022-03-23,Senegal,Nigeria,1,0,Continental Cup
2022-03-24,Australia,France,0,0,Friendly
2022-03-25,Australia,South Korea,2,2,Friendly
2022-03-26,Denmark,Italy,2,1,Friendly
2022-03-27,Panama,Tunisia,2,1,Continental Cup
2022-03-27,Peru,New Zealand,1,1,Nations League
2022-03-28,Jamaica,Serbia,2,3,Friendly
2022-03-29,Colombia,Japan,1,0,Continental Cup
2022-03-30,Panama,Curacao,3,2,WC Qualifier
2022-03-31,Italy,Ukraine,0,0,WC Qualifier
2022-04-01,Turkey,Algeria,3,2,Nations League
2022-04-02,Cape Verde,Mexico,0,1,Friendly
2022-04-03,Poland,Morocco,0,0,Continental Cup
2022-04-04,Canada,Senegal,3,4,WC Qualifier
2022-04-05,Saudi Arabia,Panama,2,2,WC Qualifier
2022-04-06,Uzbekistan,Portugal,0,4,Nations League
2022-04-06,France,Canada,1,1,WC Qualifier
2022-04-07,Panama,Denmark,2,3,Continental Cup
2022-04-08,France,New Zealand,3,3,Nations League
2022-04-09,Jordan,Morocco,0,3,WC Qualifier
2022-04-10,Uruguay,Uzbekistan,2,1,WC Qualifier
2022-04-11,Uzbekistan,Jamaica,1,0,Continental Cup
2022-04-12,Croatia,Uzbekistan,2,3,Friendly
2022-04-13,Portugal,Japan,2,2,Nations League
2022-04-14,Croatia,Curacao,3,2,Friendly
2022-04-15,Peru,Cape Verde,1,0,Continental Cup
2022-04-15,South Korea,Australia,1,2,Continental Cup
2022-04-16,Switzerland,Jamaica,1,4,WC Qualifier
2022-04-17,Iran,Netherlands,0,1,WC Qualifier
2022-04-18,Costa Rica,Iran,1,2,Friendly
2022-04-19,Mexico,Argentina,0,0,Friendly
2022-04-20,Turkey,Nigeria,1,0,Friendly
2022-04-21,Croatia,Mexico,1,2,Nations League
2022-04-22,Japan,Switzerland,1,2,Continental Cup
2022-04-23,Italy,Nigeria,3,2,WC Qualifier
2022-04-24,Uzbekistan,Tunisia,1,2,Continental Cup
2022-04-24,Serbia,Netherlands,0,3,Continental Cup
2022-04-25,Uruguay,South Korea,2,1,WC Qualifier
2022-04-26,Nigeria,Denmark,4,3,Friendly
2022-04-27,Ecuador,Netherlands,1,1,Continental Cup
2022-04-28,Uruguay,New Zealand,6,0,Friendly
2022-04-29,Denmark,Switzerland,2,1,Friendly
2022-04-30,Croatia,Portugal,1,0,Continental Cup
2022-05-01,Costa Rica,Tunisia,2,0,Friendly
2022-05-02,Peru,Germany,2,3,Continental Cup
2022-05-03,Uruguay,New Zealand,2,3,Friendly
2022-05-04,France,Costa Rica,0,0,Nations League
2022-05-04,Canada,Mexico,1,0,Continental Cup
2022-05-05,Wales,Morocco,0,1,Friendly
2022-05-06,Uruguay,Qatar,0,0,Friendly
2022-05-07,Netherlands,Japan,3,2,Friendly
2022-05-08,United States,Ecuador,2,1,WC Qualifier
2022-05-09,Costa Rica,England,3,2,Continental Cup
2022-05-10,Uruguay,Austria,0,3,Continental Cup
2022-05-11,Peru,Algeria,0,2,WC Qualifier
2022-05-12,New Zealand,Belgium,0,3,Friendly
2022-05-13,Tunisia,Austria,2,1,Nations League
2022-05-13,Argentina,Austria,1,0,WC Qualifier
2022-05-14,Tunisia,Qatar,2,1,Friendly
2022-05-15,Jamaica,Argentina,0,0,Friendly
2022-05-16,Canada,Uruguay,4,3,Continental Cup
2022-05-17,Denmark,Ecuador,4,3,Nations League
2022-05-18,Iran,Curacao,1,1,Friendly
2022-05-19,Curacao,Costa Rica,1,2,Friendly
2022-05-20,Switzerland,Belgium,0,1,WC Qualifier
2022-05-21,France,Serbia,5,4,WC Qualifier
2022-05-22,Netherlands,Portugal,1,0,WC Qualifier
2022-05-22,Denmark,Brazil,0,0,WC Qualifier
2022-05-23,Curacao,Morocco,0,1,WC Qualifier
2022-05-24,Algeria,Argentina,1,2,Continental Cup
2022-05-25,Jordan,Austria,2,2,WC Qualifier
2022-05-26,Costa Rica,Scotland,0,1,Nations League
2022-05-27,Morocco,Portugal,1,1,Friendly
2022-05-28,United States,Wales,0,0,Friendly
2022-05-29,Japan,Ukraine,4,3,Friendly
2022-05-30,Egypt,Jordan,2,0,Friendly
2022-05-31,New Zealand,Saudi Arabia,2,0,Nations League
2022-05-31,England,Italy,5,1,Continental Cup
2022-06-01,Belgium,Wales,3,0,Continental Cup
2022-06-02,Brazil,Uzbekistan,1,0,Friendly
2022-06-03,Brazil,Ecuador,4,0,Continental Cup
2022-06-04,Mexico,Chile,2,1,WC Qualifier
2022-06-05,Nigeria,South Korea,3,2,WC Qualifier
2022-06-06,Tunisia,Qatar,1,0,Friendly
2022-06-07,Algeria,Netherlands,2,3,Continental Cup
2022-06-08,Egypt,Turkey,2,2,Friendly
2022-06-09,Panama,Brazil,0,1,Nations League
2022-06-10,Ecuador,France,0,0,Friendly
2022-06-10,Germany,Denmark,3,2,WC Qualifier
2022-06-11,Tunisia,Turkey,1,2,Friendly
2022-06-12,Jordan,Scotland,1,3,Friendly
2022-06-13,Croatia,France,0,1,Friendly
2022-06-14,Qatar,Chile,0,2,Continental Cup
2022-06-15,Chile,Saudi Arabia,1,0,Nations League
2022-06-16,South Korea,Australia,1,1,WC Qualifier
2022-06-17,South Korea,Portugal,3,2,Continental Cup
2022-06-18,Italy,Cape Verde,1,1,Friendly
2022-06-19,United States,Brazil,2,4,Friendly
2022-06-19,Saudi Arabia,Croatia,2,2,WC Qualifier
2022-06-20,Japan,Algeria,1,0,Nations League
2022-06-21,Canada,Italy,1,2,Friendly
2022-06-22,Spain,Denmark,2,0,Friendly
2022-06-23,Scotland,Denmark,0,3,Friendly
2022-06-24,Uruguay,Jordan,3,0,WC Qualifier
2022-06-25,Serbia,Peru,3,3,WC Qualifier
2022-06-26,Italy,Panama,2,1,WC Qualifier
2022-06-27,Australia,New Zealand,2,1,Nations League
2022-06-28,United States,Ukraine,3,0,Friendly
2022-06-28,Iran,Uzbekistan,3,2,Nations League
2022-06-29,Nigeria,Netherlands,0,1,Nations League
2022-06-30,Curacao,Turkey,0,1,Continental Cup
2022-07-01,Tunisia,Costa Rica,0,1,Friendly
2022-07-02,Serbia,Turkey,3,0,WC Qualifier
2022-07-03,Argentina,Peru,2,1,WC Qualifier
2022-07-04,Uzbekistan,Argentina,2,3,WC Qualifier
2022-07-05,Spain,Iran,1,0,WC Qualifier
2022-07-06,Egypt,Curacao,5,4,Continental Cup
2022-07-07,Tunisia,England,1,2,Friendly
2022-07-08,Wales,Morocco,0,2,Continental Cup
2022-07-08,Algeria,Mexico,0,0,Friendly
2022-07-09,Netherlands,Uzbekistan,2,0,WC Qualifier
2022-07-10,Jamaica,Italy,1,2,Friendly
2022-07-11,Tunisia,Switzerland,0,2,WC Qualifier
2022-07-12,Cape Verde,Switzerland,0,1,Continental Cup
2022-07-13,Curacao,Qatar,2,1,Friendly
2022-07-14,Qatar,Ecuador,3,3,Continental Cup
2022-07-15,Poland,Curacao,4,5,WC Qualifier
2022-07-16,Ukraine,England,2,2,Friendly
2022-07-17,Jamaica,Uruguay,3,2,Nations League
2022-07-17,Spain,Uzbekistan,1,1,WC Qualifier
2022-07-18,Japan,Ukraine,1,2,Friendly
2022-07-19,United States,Austria,1,0,Friendly
2022-07-20,Iran,Senegal,4,4,Continental Cup
2022-07-21,Turkey,Canada,3,2,WC Qualifier
2022-07-22,Ecuador,Senegal,4,3,Nations League
2022-07-23,Panama,Chile,2,1,WC Qualifier
2022-07-24,Netherlands,Belgium,0,1,Friendly
2022-07-25,Egypt,Wales,1,1,Friendly
2022-07-26,Denmark,Curacao,4,1,Nations League
2022-07-26,Egypt,Algeria,3,4,Friendly
2022-07-27,Senegal,Chile,3,3,Nations League
2022-07-28,Ecuador,Algeria,2,2,Friendly
2022-07-29,Qatar,Mexico,1,1,Nations League
2022-07-30,Belgium,Colombia,1,1,WC Qualifier
2022-07-31,Germany,Senegal,2,1,WC Qualifier
2022-08-01,Italy,Algeria,2,2,Friendly
2022-08-02,Germany,England,2,1,Friendly
2022-08-03,Iran,Austria,4,3,Nations League
2022-08-04,Mexico,Nigeria,0,1,WC Qualifier
2022-08-05,Belgium,New Zealand,2,1,Friendly
2022-08-05,Uruguay,Serbia,2,2,WC Qualifier
2022-08-06,Ukraine,Uzbekistan,2,3,WC Qualifier
2022-08-07,Wales,United States,2,3,Friendly
2022-08-08,Brazil,Japan,0,0,Nations League
2022-08-09,Serbia,Austria,1,2,Friendly
2022-08-10,Serbia,Spain,1,2,Friendly
2022-08-11,Italy,Ukraine,2,1,Continental Cup
2022-08-12,Jamaica,Croatia,0,1,Nations League
2022-08-13,Argentina,Spain,0,1,WC Qualifier
2022-08-14,Qatar,Curacao,3,2,Friendly
2022-08-14,France,Tunisia,1,0,WC Qualifier
2022-08-15,Scotland,Portugal,0,0,WC Qualifier
2022-08-16,Portugal,Qatar,1,0,WC Qualifier
2022-08-17,Turkey,Japan,2,3,WC Qualifier
2022-08-18,Italy,South Korea,2,1,Friendly
2022-08-19,Wales,Peru,4,3,Continental Cup
2022-08-20,Turkey,England,0,3,WC Qualifier
2022-08-21,Turkey,South Korea,1,2,WC Qualifier
2022-08-22,Argentina,Australia,1,1,Nations League
2022-08-23,Japan,Netherlands,1,2,Nations League
2022-08-23,Cape Verde,Brazil,1,1,WC Qualifier
2022-08-24,Canada,Costa Rica,3,2,WC Qualifier
2022-08-25,Argentina,Uzbekistan,4,0,Friendly
2022-08-26,Ecuador,United States,2,1,Friendly
2022-08-27,Senegal,Peru,1,0,WC Qualifier
2022-08-28,Uruguay,Qatar,4,5,Friendly
2022-08-29,Senegal,Netherlands,2,0,WC Qualifier
2022-08-30,Ecuador,Chile,3,4,Friendly
2022-08-31,Austria,France,1,2,Friendly
2022-09-01,Ecuador,United States,1,3,WC Qualifier
2022-09-02,Cape Verde,Costa Rica,2,2,Friendly
2022-09-02,Turkey,Scotland,3,2,Friendly
2022-09-03,Tunisia,Panama,1,1,WC Qualifier
2022-09-04,Egypt,Japan,2,1,Friendly
2022-09-05,Belgium,Netherlands,3,3,Nations League
2022-09-06,Peru,Tunisia,4,3,Continental Cup
2022-09-07,Spain,Peru,3,0,Friendly
2022-09-08,Poland,Croatia,2,2,Continental Cup
2022-09-09,Jamaica,Nigeria,1,2,Continental Cup
2022-09-10,Switzerland,Panama,2,0,WC Qualifier
2022-09-11,Costa Rica,Japan,0,1,WC Qualifier
2022-09-11,Nigeria,Germany,1,2,WC Qualifier
2022-09-12,Belgium,Spain,2,3,Nations League
2022-09-13,Serbia,Australia,1,0,Nations League
2022-09-14,Curacao,Uruguay,1,2,Nations League
2022-09-15,France,Scotland,1,1,WC Qualifier
2022-09-16,Cape Verde,Wales,0,1,Nations League
2022-09-17,Panama,Uzbekistan,1,0,Friendly
2022-09-18,Germany,England,0,3,WC Qualifier
2022-09-19,Serbia,Turkey,3,2,Friendly
2022-09-20,Senegal,Italy,0,0,WC Qualifier
2022-09-20,Croatia,Egypt,1,1,Continental Cup
2022-09-21,Peru,Jamaica,2,2,Friendly
2022-09-22,South Korea,New Zealand,1,0,Friendly
2022-09-23,Nigeria,Uzbekistan,1,2,Nations League
2022-09-24,Scotland,Curacao,1,0,WC Qualifier
2022-09-25,Scotland,Japan,1,2,Continental Cup
2022-09-26,Costa Rica,Austria,1,3,Nations League
2022-09-27,Netherlands,Croatia,0,1,Friendly
2022-09-28,Scotland,Senegal,1,2,Friendly
2022-09-29,Croatia,Algeria,3,2,WC Qualifier
2022-09-29,Peru,Panama,2,2,WC Qualifier
2022-09-30,Turkey,Uzbekistan,4,3,WC Qualifier
2022-10-01,Curacao,Croatia,1,1,Friendly
2022-10-02,Canada,Egypt,1,2,Friendly
2022-10-03,Ecuador,Belgium,2,3,Friendly
2022-10-04,Jordan,Japan,0,1,Continental Cup
2022-10-05,Ukraine,Poland,0,0,WC Qualifier
2022-10-06,Senegal,Croatia,4,3,WC Qualifier
2022-10-07,Brazil,Austria,3,0,WC Qualifier
2022-10-08,Poland,Mexico,2,3,Friendly
2022-10-09,Mexico,Egypt,3,2,Friendly
2022-10-09,Argentina,South Korea,3,4,WC Qualifier
2022-10-10,South Korea,Switzerland,1,1,Friendly
2022-10-11,Wales,Spain,0,1,WC Qualifier
2022-10-12,Algeria,Japan,3,4,WC Qualifier
2022-10-13,Senegal,Turkey,1,2,Continental Cup
2022-10-14,Peru,Australia,1,2,Friendly
2022-10-15,Algeria,Egypt,2,4,Nations League
2022-10-16,Netherlands,Algeria,2,1,Continental Cup
2022-10-17,Chile,Jordan,3,2,WC Qualifier
2022-10-18,South Korea,Australia,2,1,Friendly
2022-10-18,Argentina,Italy,2,1,WC Qualifier
2022-10-19,Germany,South Korea,1,1,WC Qualifier
